query_id,predicted_attack_id,predicted_technique_name,predicted_score,is_relevant,source_name,source_type,query_text,relevant_attack_ids,relevant_names
Q000002,T1589.001,Credentials,-7.318297386169434,False,2015 Ukraine Electric Power Attack,campaign,"2015 Ukraine Electric Power Attack. During the 2015 Ukraine Electric Power Attack, Sandworm Team gathered account credentials via a BlackEnergy keylogger plugin.","[""T1056.001""]","[""Keylogging""]"
Q000003,T1564.007,VBA Stomping,-9.52219295501709,False,2015 Ukraine Electric Power Attack,campaign,"2015 Ukraine Electric Power Attack. During the 2015 Ukraine Electric Power Attack, Sandworm Team installed a VBA script called `vba_macro.exe`. This macro dropped `FONTCACHE.DAT`, the primary BlackEnergy implant; `rundll32.exe`, for executing the malware; `NTUSER.log`, an empty file; and desktop.ini, the default file used to determine folder displays on Windows machines.","[""T1059.005""]","[""Visual Basic""]"
Q000004,T1195.003,Compromise Hardware Supply Chain,-9.755355834960938,False,2015 Ukraine Electric Power Attack,campaign,"2015 Ukraine Electric Power Attack. During the 2015 Ukraine Electric Power Attack, Sandworm Team installed a modified Dropbear SSH client as the backdoor to target systems.","[""T1133""]","[""External Remote Services""]"
Q000005,T1584.008,Network Devices,-8.465822219848633,False,2015 Ukraine Electric Power Attack,campaign,"2015 Ukraine Electric Power Attack. During the 2015 Ukraine Electric Power Attack, Sandworm Team leveraged Microsoft Office attachments which contained malicious macros that were automatically executed once the user permitted them.","[""T1204.002""]","[""Malicious File""]"
Q000006,T1027.017,SVG Smuggling,-10.651886940002441,False,2015 Ukraine Electric Power Attack,campaign,"2015 Ukraine Electric Power Attack. During the 2015 Ukraine Electric Power Attack, Sandworm Team loaded BlackEnergy into svchost.exe, which then launched iexplore.exe for their C2.","[""T1055""]","[""Process Injection""]"
Q000007,T1653,Power Settings,-7.495473861694336,False,2015 Ukraine Electric Power Attack,campaign,"2015 Ukraine Electric Power Attack. During the 2015 Ukraine Electric Power Attack, Sandworm Team modified in-registry Internet settings to lower internet security before launching `rundll32.exe`, which in-turn launches the malware and communicates with C2 servers over the Internet. .","[""T1112""]","[""Modify Registry""]"
Q000008,T1653,Power Settings,-7.911229610443115,False,2015 Ukraine Electric Power Attack,campaign,"2015 Ukraine Electric Power Attack. During the 2015 Ukraine Electric Power Attack, Sandworm Team modified in-registry internet settings to lower internet security.","[""T1685""]","[""Disable or Modify Tools""]"
Q000010,T1668,Exclusive Control,-10.309898376464844,False,2015 Ukraine Electric Power Attack,campaign,"2015 Ukraine Electric Power Attack. During the 2015 Ukraine Electric Power Attack, Sandworm Team obtained their initial foothold into many IT systems using Microsoft Office attachments delivered through phishing emails.","[""T1566.001""]","[""Spearphishing Attachment""]"
Q000011,T1653,Power Settings,-6.410418510437012,False,2015 Ukraine Electric Power Attack,campaign,"2015 Ukraine Electric Power Attack. During the 2015 Ukraine Electric Power Attack, Sandworm Team pushed additional malicious tools onto an infected system to steal user credentials, move laterally, and destroy data.","[""T1105""]","[""Ingress Tool Transfer""]"
Q000013,T1102.003,One-Way Communication,-7.5304274559021,False,2015 Ukraine Electric Power Attack,campaign,"2015 Ukraine Electric Power Attack. During the 2015 Ukraine Electric Power Attack, Sandworm Team used BlackEnergy to communicate between compromised hosts and their command-and-control servers via HTTP post requests.","[""T1071.001""]","[""Web Protocols""]"
Q000017,T1564.007,VBA Stomping,-9.076810836791992,False,2015 Ukraine Electric Power Attack,campaign,"2015 Ukraine Electric Power Attack. During the 2015 Ukraine Electric Power Attack, vba_macro.exe deletes itself after `FONTCACHE.DAT`, `rundll32.exe`, and the associated .lnk file is delivered.","[""T1070.004""]","[""File Deletion""]"
Q000018,T1679,Selective Exclusion,-7.924787998199463,False,2016 Ukraine Electric Power Attack,campaign,"2016 Ukraine Electric Power Attack. During the 2016 Ukraine Electric Power Attack, DLLs and EXEs with filenames associated with common electric power sector protocols were used to masquerade files.","[""T1036.005""]","[""Match Legitimate Resource Name or Location""]"
Q000019,T1654,Log Enumeration,-10.540262222290039,False,2016 Ukraine Electric Power Attack,campaign,"2016 Ukraine Electric Power Attack. During the 2016 Ukraine Electric Power Attack, Sandworm Team added a login to a SQL Server with `sp_addlinkedsrvlogin`.","[""T1136""]","[""Create Account""]"
Q000020,T1596,Search Open Technical Databases,-9.174192428588867,False,2016 Ukraine Electric Power Attack,campaign,"2016 Ukraine Electric Power Attack. During the 2016 Ukraine Electric Power Attack, Sandworm Team checked for connectivity to resources within the network and used LDAP to query Active Directory, discovering information about computers listed in AD.","[""T1018""]","[""Remote System Discovery""]"
Q000023,T1036.010,Masquerade Account Name,-7.742795944213867,False,2016 Ukraine Electric Power Attack,campaign,"2016 Ukraine Electric Power Attack. During the 2016 Ukraine Electric Power Attack, Sandworm Team created two new accounts, “admin” and “система” (System). The accounts were then assigned to a domain matching local operation and were delegated new privileges.","[""T1136.002""]","[""Domain Account""]"
Q000024,T1689,Downgrade Attack,-8.732611656188965,False,2016 Ukraine Electric Power Attack,campaign,"2016 Ukraine Electric Power Attack. During the 2016 Ukraine Electric Power Attack, Sandworm Team disabled event logging on compromised systems.","[""T1685.001""]","[""Disable or Modify Windows Event Log""]"
Q000026,T1557.004,Evil Twin,-7.367438316345215,False,2016 Ukraine Electric Power Attack,campaign,"2016 Ukraine Electric Power Attack. During the 2016 Ukraine Electric Power Attack, Sandworm Team used Mimikatz to capture and use legitimate credentials.","[""T1003.001""]","[""LSASS Memory""]"
Q000028,T1608.001,Upload Malware,-10.852838516235352,False,2016 Ukraine Electric Power Attack,campaign,"2016 Ukraine Electric Power Attack. During the 2016 Ukraine Electric Power Attack, Sandworm Team used UPX to pack a copy of Mimikatz.","[""T1027.002""]","[""Software Packing""]"
Q000030,T1592.001,Hardware,-9.725902557373047,False,2016 Ukraine Electric Power Attack,campaign,"2016 Ukraine Electric Power Attack. During the 2016 Ukraine Electric Power Attack, Sandworm Team used a script to attempt RPC authentication against a number of hosts.","[""T1110""]","[""Brute Force""]"
Q000031,T1689,Downgrade Attack,-10.162643432617188,False,2016 Ukraine Electric Power Attack,campaign,"2016 Ukraine Electric Power Attack. During the 2016 Ukraine Electric Power Attack, Sandworm Team used a trojanized version of Windows Notepad to add a layer of persistence for Industroyer.","[""T1554""]","[""Compromise Host Software Binary""]"
Q000034,T1653,Power Settings,-10.845233917236328,False,2016 Ukraine Electric Power Attack,campaign,"2016 Ukraine Electric Power Attack. During the 2016 Ukraine Electric Power Attack, Sandworm Team used the `sp_addlinkedsrvlogin` command in MS-SQL to create a link between a created account and other servers in the network.","[""T1098""]","[""Account Manipulation""]"
Q000035,T1059.001,PowerShell,-9.535037994384766,False,2016 Ukraine Electric Power Attack,campaign,"2016 Ukraine Electric Power Attack. During the 2016 Ukraine Electric Power Attack, Sandworm Team used the `xp_cmdshell` command in MS-SQL.","[""T1059.003""]","[""Windows Command Shell""]"
Q000037,T1584.008,Network Devices,-10.561006546020508,False,2016 Ukraine Electric Power Attack,campaign,"2016 Ukraine Electric Power Attack. During the 2016 Ukraine Electric Power Attack, Sandworm Team utilized `net use` to connect to network shares.","[""T1021.002""]","[""SMB/Windows Admin Shares""]"
Q000039,T1546,Event Triggered Execution,-8.126604080200195,False,2022 Ukraine Electric Power Attack,campaign,"2022 Ukraine Electric Power Attack. During the 2022 Ukraine Electric Power Attack, Sandworm Team configured Systemd to maintain persistence of GOGETTER, specifying the `WantedBy=multi-user.target` configuration to run GOGETTER when the system begins accepting user logins.","[""T1543.002""]","[""Systemd Service""]"
Q000040,T1570,Lateral Tool Transfer,-9.927857398986816,False,2022 Ukraine Electric Power Attack,campaign,"2022 Ukraine Electric Power Attack. During the 2022 Ukraine Electric Power Attack, Sandworm Team deployed CaddyWiper on the victim’s IT environment systems to wipe files related to the OT capabilities, along with mapped drives, and physical drive partitions.","[""T1485""]","[""Data Destruction""]"
Q000041,T1219.001,IDE Tunneling,-10.058120727539062,False,2022 Ukraine Electric Power Attack,campaign,"2022 Ukraine Electric Power Attack. During the 2022 Ukraine Electric Power Attack, Sandworm Team deployed the GOGETTER tunneler software to establish a “Yamux” TLS-based C2 channel with an external server(s).","[""T1572""]","[""Protocol Tunneling""]"
Q000042,T1499.002,Service Exhaustion Flood,-10.298760414123535,False,2022 Ukraine Electric Power Attack,campaign,"2022 Ukraine Electric Power Attack. During the 2022 Ukraine Electric Power Attack, Sandworm Team deployed the Neo-REGEORG webshell on an internet-facing server.","[""T1505.003""]","[""Web Shell""]"
Q000043,T1615,Group Policy Discovery,-5.578742504119873,False,2022 Ukraine Electric Power Attack,campaign,"2022 Ukraine Electric Power Attack. During the 2022 Ukraine Electric Power Attack, Sandworm Team leveraged Group Policy Objects (GPOs) to deploy and execute malware.","[""T1484.001""]","[""Group Policy Modification""]"
Q000045,T1036,Masquerading,-8.355804443359375,False,2022 Ukraine Electric Power Attack,campaign,"2022 Ukraine Electric Power Attack. During the 2022 Ukraine Electric Power Attack, Sandworm Team leveraged Systemd service units to masquerade GOGETTER malware as legitimate or seemingly legitimate services.","[""T1036.004""]","[""Masquerade Task or Service""]"
Q000046,T1090.002,External Proxy,-7.510481357574463,False,2022 Ukraine Electric Power Attack,campaign,"2022 Ukraine Electric Power Attack. During the 2022 Ukraine Electric Power Attack, Sandworm Team proxied C2 communications within a TLS-based tunnel.","[""T1095""]","[""Non-Application Layer Protocol""]"
Q000047,T1615,Group Policy Discovery,-7.649737358093262,False,2022 Ukraine Electric Power Attack,campaign,"2022 Ukraine Electric Power Attack. During the 2022 Ukraine Electric Power Attack, Sandworm Team used a Group Policy Object (GPO) to copy CaddyWiper's executable `msserver.exe` from a staging server to a local hard drive before deployment.","[""T1570""]","[""Lateral Tool Transfer""]"
Q000049,T1561,Disk Wipe,-2.4717273712158203,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, adversaries performed a factory-reset on compromised devices that hampered forensic investigations.","[""T1495""]","[""Firmware Corruption""]"
Q000052,T1003,OS Credential Dumping,-1.7652771472930908,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries attempted to dump credentials utilizing LSASS.","[""T1003.001""]","[""LSASS Memory""]"
Q000053,T1561,Disk Wipe,-1.1490397453308105,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries attempted to reuse password hash values to gain access to other systems.","[""T1550.002""]","[""Pass the Hash""]"
Q000054,T1561.001,Disk Content Wipe,-2.6304237842559814,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries captured screenshots of devices using nircmd console through the command nircmd.exe “savescreenshot C:\Windows\Temp\imagetmp.png .","[""T1113""]","[""Screen Capture""]"
Q000055,T1561,Disk Wipe,-3.16424560546875,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries compiled discovery data locally on the victim host in a file located within `C:\Windows\TEMP\outlog.txt`.","[""T1074.001""]","[""Local Data Staging""]"
Q000056,T1027.015,Compression,-2.6427760124206543,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries compressed stolen files into a zip file prior to exfiltration.","[""T1560.001""]","[""Archive via Utility""]"
Q000057,T1102,Web Service,-1.7483832836151123,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries compromised infrastructure to use for C2.","[""T1584.001""]","[""Domains""]"
Q000058,T1561,Disk Wipe,-3.095975875854492,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries configured a native CLI to gather a targeted elevated users password using `grep`.","[""T1555""]","[""Credentials from Password Stores""]"
Q000059,T1584.008,Network Devices,-0.0659833550453186,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries configured the FortiGate devices to send notifications to an attacker-controlled Slack channel. During the 2025 Poland Wiper Attacks, the adversaries had also staged tools and files on services such as Dropbox and Pastebin.","[""T1583.006""]","[""Web Services""]"
Q000060,T1490,Inhibit System Recovery,-2.8446738719940186,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries copied volume shadow copies through executing `vssadmin` in order to dump the `NTDS.dit` file.","[""T1006""]","[""Direct Volume Access""]"
Q000061,T1561,Disk Wipe,-2.238168716430664,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries created rules that mimicked the name of an institution already present in the network device configuration to avoid detection.","[""T1036.005""]","[""Match Legitimate Resource Name or Location""]"
Q000062,T1027.015,Compression,-4.697301864624023,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries decoded a Base64-encoded ZIP archive using the built-in certutil.","[""T1140""]","[""Deobfuscate/Decode Files or Information""]"
Q000064,T1659,Content Injection,-0.8332028388977051,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries downloaded malicious payloads to the victim server.","[""T1105""]","[""Ingress Tool Transfer""]"
Q000068,T1561.001,Disk Content Wipe,-1.178533673286438,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries forced victim devices to reboot to finalize destruction of impacted systems.","[""T1529""]","[""System Shutdown/Reboot""]"
Q000069,T1592.004,Client Configurations,-6.035799026489258,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries gathered and used the FortiGate bookmarks defined in the configuration file to include the statically defined credentials that facilitated RDP connections to jump hosts.","[""T1602.002""]","[""Network Device Configuration Dump""]"
Q000070,T1590.006,Network Security Appliances,-4.447301387786865,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries gathered network configuration details utilizing `arp -a` and `nslookup` commands.","[""T1016""]","[""System Network Configuration Discovery""]"
Q000072,T1667,Email Bombing,-7.229861259460449,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries had communicated to both Dropbox and Pastebin.","[""T1102.002""]","[""Bidirectional Communication""]"
Q000074,T1561,Disk Wipe,-2.221055507659912,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries had leveraged Group Policy Objects to distribute wiper malware to victim devices through a network share.","[""T1484.001""]","[""Group Policy Modification""]"
Q000075,T1561,Disk Wipe,-2.848768711090088,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries had placed the malicious payload on an accessible network share to facilitate propagation.","[""T1570""]","[""Lateral Tool Transfer""]"
Q000076,T1561,Disk Wipe,-2.4893784523010254,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries had staged tools and files for use on Dropbox and Pastebin.","[""T1608.002""]","[""Upload Tool""]"
Q000079,T1561,Disk Wipe,-3.2087197303771973,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries leveraged PsExec to run `cmd.exe` commands on multiple victim machines.","[""T1059.003""]","[""Windows Command Shell""]"
Q000080,T1561.001,Disk Content Wipe,-2.9800214767456055,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries leveraged an attacker-controlled Slack channel to exfiltrate data.","[""T1567.004""]","[""Exfiltration Over Webhook""]"
Q000081,T1584.008,Network Devices,-2.7774720191955566,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries leveraged stolen credentials from on-premises environments to access cloud services.","[""T1078.004""]","[""Cloud Accounts""]"
Q000082,T1496.004,Cloud Service Hijacking,-2.8722612857818604,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries leveraged stolen credentials within cloud services to download targeted data from SharePoint, and Teams.","[""T1530""]","[""Data from Cloud Storage""]"
Q000083,T1496.004,Cloud Service Hijacking,-2.4913735389709473,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries leveraged stolen credentials within cloud services to gather data and email messages from Exchange services related to OT topics and technical work carried out within organizations.","[""T1114.002""]","[""Remote Email Collection""]"
Q000084,T1561,Disk Wipe,-3.002413272857666,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries leveraged the native CLI of the targeted FortiGate device.","[""T1059.008""]","[""Network Device CLI""]"
Q000085,T1561,Disk Wipe,0.05331730097532272,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries modified security settings within the victims Fortigate device, utilizing the native CLI. During the 2025 Poland Wiper Attacks, the adversaries also disabled network traffic logging.","[""T1686.002""]","[""Network Device Firewall""]"
Q000086,T1689,Downgrade Attack,-6.278842449188232,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries modified two-factor settings within the FortiGate solution to `unset`.","[""T1556.006""]","[""Multi-Factor Authentication""]"
Q000088,T1592.004,Client Configurations,-3.4320273399353027,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries obtained details on the configuration of the victim Fortinet perimeter device to include publicly disclosed details on an online forum used by criminal communities.","[""T1590.006""]","[""Network Security Appliances""]"
Q000089,T1561,Disk Wipe,-3.3529319763183594,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries obtained the contents of users’ directories using `dir /s /b C:\Users` command.","[""T1083""]","[""File and Directory Discovery""]"
Q000090,T1561,Disk Wipe,-2.8286852836608887,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries set FortiGate scheduled tasks to run the adversary generated CLI scripts weekly.","[""T1053""]","[""Scheduled Task/Job""]"
Q000092,T1584.005,Botnet,-2.0062713623046875,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries used compromised VPS servers for C2.","[""T1584.003""]","[""Virtual Private Server""]"
Q000093,T1561,Disk Wipe,-4.414365768432617,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries used the Rubeus tool to forge a Diamond Ticket that is a modified legitimate Kerberos ticket.","[""T1558""]","[""Steal or Forge Kerberos Tickets""]"
Q000094,T1561,Disk Wipe,-2.4981846809387207,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries utilized Ping, the Advanced Port Scanner and Advanced IP Scanner to enumerate network devices.","[""T1046""]","[""Network Service Discovery""]"
Q000095,T1102.001,Dead Drop Resolver,-4.941939353942871,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries utilized Tor nodes for C2.","[""T1090.003""]","[""Multi-hop Proxy""]"
Q000096,T1561.001,Disk Content Wipe,-2.8587002754211426,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries utilized a Base64-encoded ZIP archive to prevent content analysis.","[""T1027.013""]","[""Encrypted/Encoded File""]"
Q000097,T1561,Disk Wipe,-0.7020042538642883,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries utilized the Linux `dd` command to overwrite portions of the disks with random data.","[""T1059.004""]","[""Unix Shell""]"
Q000099,T1561,Disk Wipe,-0.0871356874704361,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, the adversaries utilized wiper malware to overwrite files using a 16-byte buffer that fully overwrites files 16 bytes or smaller or partially overwrites files greater than 16 bytes to speed up the process.","[""T1485""]","[""Data Destruction""]"
Q000100,T1668,Exclusive Control,-6.649934768676758,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, threat actors leveraged the FortiGate VPN interface that was exposed to the internet to gain access to the victim environment.","[""T1133""]","[""External Remote Services""]"
Q000101,T1668,Exclusive Control,-6.037853240966797,False,2025 Poland Wiper Attacks,campaign,"2025 Poland Wiper Attacks. During the 2025 Poland Wiper Attacks, threat actors utilized privileged accounts to access the FortiGate VPN solution and subsequent subnets.","[""T1078.002""]","[""Domain Accounts""]"
Q000103,T1195,Supply Chain Compromise,-5.12943172454834,False,3CX Supply Chain Attack,campaign,"3CX Supply Chain Attack. During 3CX Supply Chain Attack, AppleJeus has gained access to the 3CX corporate environment through legitimate VPN credentials.","[""T1078""]","[""Valid Accounts""]"
Q000104,T1195,Supply Chain Compromise,-2.8400068283081055,False,3CX Supply Chain Attack,campaign,"3CX Supply Chain Attack. During the 3CX Supply Chain Attack, AppleJeus added a malicious .dylib file to a .dmg installer package for the macOS 3CX application.","[""T1546.016""]","[""Installer Packages""]"
Q000105,T1195,Supply Chain Compromise,-2.602743625640869,False,3CX Supply Chain Attack,campaign,"3CX Supply Chain Attack. During the 3CX Supply Chain Attack, AppleJeus compromised the `www.tradingtechnologies[.]com` website hosting a hidden IFRAME to exploit visitors, two months before the site was known to deliver a compromised version of the X_TRADER software package.","[""T1189""]","[""Drive-by Compromise""]"
Q000106,T1195,Supply Chain Compromise,-1.690049171447754,False,3CX Supply Chain Attack,campaign,"3CX Supply Chain Attack. During the 3CX Supply Chain Attack, AppleJeus delivered components using a Windows Installer package (.msi). The MSI installer extracted several files and executed the 3CXDesktopApp.exe, which loaded the malicious library file ffmpeg.dll.","[""T1218.007""]","[""Msiexec""]"
Q000107,T1195,Supply Chain Compromise,-4.471397876739502,False,3CX Supply Chain Attack,campaign,"3CX Supply Chain Attack. During the 3CX Supply Chain Attack, AppleJeus encrypts its dynamic library files (.dll) using RC4, and when loaded only decrypts specific portions of the file using the key `3jB(2bsG#@c7`.","[""T1027.013""]","[""Encrypted/Encoded File""]"
Q000108,T1195,Supply Chain Compromise,-0.14133360981941223,False,3CX Supply Chain Attack,campaign,"3CX Supply Chain Attack. During the 3CX Supply Chain Attack, AppleJeus first compromised an “end-of-life"" trading software application which was downloaded and executed inside the 3CX enterprise environment. The second compromise modified the Windows and macOS build environments used to distribute the 3CX software to their customer base.","[""T1195.002""]","[""Compromise Software Supply Chain""]"
Q000110,T1195,Supply Chain Compromise,-4.378098487854004,False,3CX Supply Chain Attack,campaign,"3CX Supply Chain Attack. During the 3CX Supply Chain Attack, AppleJeus leveraged ICONICSTEALER to steal browser information to include browser history located on the infected host.","[""T1217""]","[""Browser Information Discovery""]"
Q000111,T1195,Supply Chain Compromise,-5.143805503845215,False,3CX Supply Chain Attack,campaign,"3CX Supply Chain Attack. During the 3CX Supply Chain Attack, AppleJeus leveraged a GitHub repository to host icon files containing the command and control URL.","[""T1102.001""]","[""Dead Drop Resolver""]"
Q000112,T1195.002,Compromise Software Supply Chain,-2.0287537574768066,False,3CX Supply Chain Attack,campaign,"3CX Supply Chain Attack. During the 3CX Supply Chain Attack, AppleJeus leveraged the 3CX application's electron framework to execute its malicious libraries under the official 3CX electron application.","[""T1218.015""]","[""Electron Applications""]"
