query_id,method,subset,recall@1,hit@1,recall@5,hit@5,recall@10,hit@10,mrr@10,ndcg@10,map@10
Q000001,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000002,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000003,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000004,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000005,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000006,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000007,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000008,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000009,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000010,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000011,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000012,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666
Q000013,TF-IDF,all,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.5
Q000014,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000015,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000016,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000017,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000018,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000019,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000020,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000021,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000022,TF-IDF,all,0.0,0.0,0.0,0.0,1.0,1.0,0.125,0.31546487678572877,0.125
Q000023,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000024,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000025,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000026,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q000027,TF-IDF,all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q000028,TF-IDF,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
